Id,SalePrice_pred
1461,114490.29712555562
1462,146663.07039489984
1463,175665.4683633367
1464,190847.5025083499
1465,187324.02166590776
1466,173909.984412893
1467,182178.23038239707
1468,160448.6609460528
1469,215618.5805860234
1470,114793.85810298112
1471,193238.6688464732
1472,98015.64194847574
1473,85478.0832286914
1474,140736.33311074748
1475,106542.08829103895
1476,343227.46541872795
1477,236447.1494122204
1478,320210.0143012431
1479,299149.8626118701
1480,441466.430367436
1481,296578.22176313744
1482,210567.38604327262
1483,177515.52821355383
1484,169641.0226253838
1485,206927.93553714408
1486,204458.13573063698
1487,301388.61004755954
1488,231292.84250775658
1489,185014.28737347774
1490,240614.09609854303
1491,196217.55085041904
1492,92658.6413125251
1493,217665.11160005053
1494,279034.09137171897
1495,266881.8943638401
1496,234463.703619186
1497,175103.70621246475
1498,159810.27852482747
1499,164559.21319818805
1500,154131.60504741047
1501,205660.0506321867
1502,150777.83481593768
1503,272529.87980219116
1504,240895.9623767436
1505,220180.8500258867
1506,193438.2038463173
1507,249828.7180319719
1508,188434.80418651566
1509,163690.15441684416
1510,137697.51412158163
1511,145425.40908843232
1512,180172.1431174077
1513,160400.26356489927
1514,142203.05126134068
1515,206546.75272829644
1516,175414.16723040806
1517,170488.53725307836
1518,128287.58061570508
1519,221130.19704474625
1520,120510.9051128497
1521,116300.26032438969
1522,204724.44343680568
1523,98704.29715034403
1524,121650.42172704199
1525,111592.55522687631
1526,95399.2023618385
1527,94090.39324996479
1528,151469.31792757855
1529,146229.8626006295
1530,217124.8989413028
1531,143484.68115396815
1532,108560.46228400628
1533,145599.19182100054
1534,125950.45787881149
1535,147892.51544006256
1536,101951.71106065142
1537,30811.67433136099
1538,167289.27508968377
1539,217328.80355183803
1540,121033.37343383793
1541,135871.820323618
1542,130811.07796728643
1543,180380.8098689148
1544,84398.06069395371
1545,120640.16119212128
1546,129475.90728948038
1547,137040.04917648967
1548,135928.3848339142
1549,112499.41252520269
1550,127410.44034051355
1551,115728.04500995463
1552,146323.13572830113
1553,160645.31107766903
1554,117418.32192293029
1555,146663.37159221107
1556,81079.37827910726
1557,93044.85355202062
1558,95197.06824761024
1559,83779.19957465013
1560,137794.7316257593
1561,115572.1351164651
1562,123353.0710245716
1563,121570.425305632
1564,145918.8548094727
1565,146359.9055542485
1566,243410.2077163029
1567,75106.96649246558
1568,222987.72925102894
1569,110565.70782538681
1570,156093.4221838948
1571,100921.14523918607
1572,148241.27844187812
1573,252989.4209502733
1574,125473.1388694942
1575,238194.44701935817
1576,233888.28752819082
1577,190961.51935635202
1578,148454.44337655033
1579,133871.11716827116
1580,190773.5252695313
1581,167212.41427369937
1582,131675.86708364254
1583,277076.38252535625
1584,228630.50778733336
1585,148682.51042432166
1586,48144.50561623936
1587,111057.51932122276
1588,161710.843925111
1589,109021.4445271049
1590,135281.20459571204
1591,87725.57551390147
1592,125615.53474425031
1593,140584.66661500308
1594,138301.0573291216
1595,117714.1323956344
1596,219719.04733059352
1597,177731.61323352996
1598,205375.9527774138
1599,198930.92578498946
1600,177145.61734526767
1601,30950.84885185302
1602,121965.67200490242
1603,86413.1825396156
1604,278466.73984097876
1605,249544.20042619016
1606,152501.62653960983
1607,168053.80634072583
1608,225859.11036015733
1609,184704.68393936587
1610,148098.93590015237
1611,135679.22756839034
1612,187450.7447625526
1613,161525.59684881385
1614,140608.32606968159
1615,91042.74615240876
1616,59917.11083601236
1617,76580.2157272614
1618,115831.41265052148
1619,149989.00917051948
1620,165505.00299632494
1621,133029.57759492728
1622,146148.1586279631
1623,263291.07066139486
1624,217420.33890634714
1625,111138.04539015255
1626,175266.91823324873
1627,182691.83104803128
1628,290861.3873028735
1629,185280.63710870143
1630,310031.0766335291
1631,217236.07728534014
1632,224988.76464109385
1633,197079.9079966267
1634,196035.98846230842
1635,182930.53490552725
1636,148091.26617625222
1637,194220.60462809048
1638,203858.7876489323
1639,187147.41951648577
1640,249667.4597105852
1641,183739.42470607735
1642,254527.32394972886
1643,220286.4307856451
1644,232310.43600499065
1645,212309.09340672113
1646,157138.99698704263
1647,162546.9447370589
1648,125183.81283635479
1649,127772.56859199831
1650,115956.42452825798
1651,118091.20919070006
1652,101943.99175036761
1653,103170.70775646094
1654,139573.4185194844
1655,128654.88595732616
1656,129769.27158009085
1657,134822.4083650032
1658,144619.52016227567
1659,109965.49458582741
1660,147060.186238691
1661,410963.5497996306
1662,362176.5070782811
1663,364507.64939699916
1664,445571.0922587585
1665,321075.21376572317
1666,309977.3751195816
1667,347394.0329513062
1668,340161.292576963
1669,311192.7029923824
1670,344626.3471382101
1671,238216.2721697254
1672,378289.5212237796
1673,274901.6266597143
1674,243279.55165282765
1675,185191.00427799238
1676,189865.51342726802
1677,204307.83245783203
1678,435372.928631669
1679,359566.65002390195
1680,320201.3835433101
1681,274180.17129313597
1682,302926.2879163191
1683,183288.09027138667
1684,186355.33444195156
1685,182614.0497578188
1686,178340.28382499938
1687,191242.86466688107
1688,196638.0857656497
1689,205381.59280127965
1690,205736.80047472642
1691,199326.74883739263
1692,285282.8368201498
1693,197568.6838387629
1694,185671.83416541896
1695,175478.20287222054
1696,266243.1931494585
1697,184666.6104174911
1698,307957.05113918346
1699,298585.3052875164
1700,248060.84265284362
1701,264930.41705037025
1702,244474.99635160368
1703,238531.7476121516
1704,266156.8664080489
1705,263012.0296606339
1706,397436.18930183945
1707,223625.7577637033
1708,193185.67755484403
1709,250579.1245374055
